Bus_ID,Bus_Number,Bus_Colour,First_Run_Time,Last_Run_Time,Bus_Stops,Pickup_Point,Drop_Point,First_Stop,Last_Stop,Total_Trips,Status,Created_At,Updated_At
1,DTC-722,Orange,06:48:00,21:01:00,"Dwarka, Saket, Kashmere Gate, Vasant Kunj, Janakpuri","Connaught Place Terminal","AIIMS Terminal","Connaught Place",AIIMS,11,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
2,DTC-523,Green,05:50:00,20:31:00,"Connaught Place, Kashmere Gate, Janakpuri, Lajpat Nagar, AIIMS","Dwarka Terminal","Noida City Center Terminal",Dwarka,"Noida City Center",13,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
3,DTC-629,Blue,06:15:00,22:55:00,"Saket, AIIMS, Lajpat Nagar, Rohini","Kashmere Gate Terminal","Saket Terminal","Kashmere Gate",Saket,15,Inactive,"2024-10-13 15:08:45","2024-10-13 15:08:45"
4,DTC-107,Red,05:01:00,20:18:00,"AIIMS, Connaught Place, Saket, Noida City Center, Janakpuri","Vasant Kunj Terminal","Rohini Terminal","Vasant Kunj",Rohini,12,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
5,DTC-396,Yellow,06:44:00,21:43:00,"Janakpuri, Kashmere Gate, Vasant Kunj, AIIMS","Lajpat Nagar Terminal","Dwarka Terminal","Lajpat Nagar",Dwarka,9,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
6,DTC-881,Orange,07:20:00,19:50:00,"Kashmere Gate, AIIMS, Rohini, Saket","Janakpuri Terminal","Noida Terminal",Janakpuri,Noida,10,Inactive,"2024-10-13 15:08:45","2024-10-13 15:08:45"
7,DTC-334,Blue,04:30:00,21:15:00,"Connaught Place, Saket, Janakpuri, Dwarka","Kashmere Gate Terminal","Lajpat Nagar Terminal","Kashmere Gate","Lajpat Nagar",14,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
8,DTC-457,Red,05:15:00,22:30:00,"AIIMS, Vasant Kunj, Noida City Center, Kashmere Gate","Dwarka Terminal","Connaught Place Terminal",Dwarka,"Connaught Place",16,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
9,DTC-190,Green,06:10:00,20:45:00,"Lajpat Nagar, Rohini, Saket, AIIMS","Janakpuri Terminal","Noida Terminal",Janakpuri,Noida,8,Inactive,"2024-10-13 15:08:45","2024-10-13 15:08:45"
10,DTC-631,Yellow,05:50:00,21:30:00,"Kashmere Gate, Vasant Kunj, Saket, Connaught Place","AIIMS Terminal","Rohini Terminal",AIIMS,Rohini,11,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
11,DTC-294,Blue,07:00:00,23:10:00,"Connaught Place, Kashmere Gate, Dwarka, Rohini","Saket Terminal","Lajpat Nagar Terminal",Saket,"Lajpat Nagar",9,Inactive,"2024-10-13 15:08:45","2024-10-13 15:08:45"
12,DTC-765,Red,06:30:00,22:15:00,"Rohini, AIIMS, Vasant Kunj, Janakpuri","Noida Terminal","Connaught Place Terminal",Noida,"Connaught Place",10,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
13,DTC-812,Orange,05:10:00,20:50:00,"Saket, AIIMS, Kashmere Gate, Lajpat Nagar","Vasant Kunj Terminal","Dwarka Terminal","Vasant Kunj",Dwarka,12,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
14,DTC-423,Green,06:45:00,21:00:00,"Connaught Place, Noida, AIIMS, Rohini","Janakpuri Terminal","Lajpat Nagar Terminal",Janakpuri,"Lajpat Nagar",15,Inactive,"2024-10-13 15:08:45","2024-10-13 15:08:45"
15,DTC-950,Yellow,04:55:00,23:05:00,"Saket, AIIMS, Dwarka, Noida","Kashmere Gate Terminal","Vasant Kunj Terminal","Kashmere Gate","Vasant Kunj",14,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
16,DTC-321,Red,05:35:00,22:40:00,"Dwarka, Janakpuri, AIIMS, Kashmere Gate","Noida Terminal","Connaught Place Terminal",Noida,"Connaught Place",11,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
17,DTC-674,Green,06:25:00,21:55:00,"AIIMS, Rohini, Janakpuri, Lajpat Nagar","Dwarka Terminal","Saket Terminal",Dwarka,Saket,10,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
18,DTC-882,Yellow,05:40:00,23:00:00,"Rohini, AIIMS, Vasant Kunj, Kashmere Gate","Noida Terminal","Lajpat Nagar Terminal",Noida,"Lajpat Nagar",8,Inactive,"2024-10-13 15:08:45","2024-10-13 15:08:45"
19,DTC-555,Orange,04:45:00,22:00:00,"Saket, AIIMS, Connaught Place, Dwarka","Kashmere Gate Terminal","Rohini Terminal","Kashmere Gate",Rohini,13,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
20,DTC-901,Blue,07:10:00,21:20:00,"AIIMS, Lajpat Nagar, Janakpuri, Vasant Kunj","Rohini Terminal","Connaught Place Terminal",Rohini,"Connaught Place",9,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
21,DTC-614,Red,05:55:00,22:25:00,"AIIMS, Kashmere Gate, Noida, Saket","Dwarka Terminal","Janakpuri Terminal",Dwarka,Janakpuri,14,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
22,DTC-299,Yellow,05:05:00,20:10:00,"Kashmere Gate, AIIMS, Lajpat Nagar, Rohini","Vasant Kunj Terminal","Noida Terminal","Vasant Kunj",Noida,12,Inactive,"2024-10-13 15:08:45","2024-10-13 15:08:45"
23,DTC-734,Green,06:50:00,23:15:00,"Dwarka, AIIMS, Rohini, Janakpuri","Lajpat Nagar Terminal","Saket Terminal","Lajpat Nagar",Saket,15,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
24,DTC-810,Blue,06:05:00,21:40:00,"Rohini, Saket, Kashmere Gate, AIIMS","Connaught Place Terminal","Noida Terminal","Connaught Place",Noida,11,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
25,DTC-377,Orange,05:20:00,20:30:00,"AIIMS, Lajpat Nagar, Vasant Kunj, Rohini","Janakpuri Terminal","Dwarka Terminal",Janakpuri,Dwarka,10,Inactive,"2024-10-13 15:08:45","2024-10-13 15:08:45"
26,DTC-912,Purple,06:30:00,22:15:00,"Kashmere Gate, Connaught Place, AIIMS, Saket","Rohini Terminal","Noida Terminal",Rohini,Noida,18,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
27,DTC-845,Brown,05:45:00,21:00:00,"Dwarka, Janakpuri, Lajpat Nagar, Vasant Kunj","AIIMS Terminal","Kashmere Gate Terminal",AIIMS,Kashmere Gate,12,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
28,DTC-667,Pink,07:00:00,20:30:00,"Connaught Place, Saket, Rohini, Noida City Center","Vasant Kunj Terminal","Dwarka Terminal",Vasant Kunj,Dwarka,14,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
29,DTC-523,Maroon,06:15:00,22:45:00,"AIIMS, Kashmere Gate, Janakpuri, Lajpat Nagar","Saket Terminal","Rohini Terminal",Saket,Rohini,16,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
30,DTC-788,Teal,05:30:00,21:20:00,"Noida City Center, Vasant Kunj, Connaught Place, Dwarka","AIIMS Terminal","Saket Terminal",AIIMS,Saket,13,Active,"2024-10-13 15:08:45","2024-10-13 15:08:45"
